fuel,x,y,passenger_loc_x,passenger_loc_y,passenger_dest_x,passenger_dest_y,passenger,jobs_done,done
2,1,1,6,3,4,4,6,5,6
2,1,1,5,3,6,5,5,4,6
1,3,2,5,4,6,5,6,4,6
2,2,1,5,3,6,5,6,4,6
1,2,3,6,4,7,7,7,5,7
