fuel,x,y,passenger_loc_x,passenger_loc_y,passenger_dest_x,passenger_dest_y,passenger,jobs_done,done
2,1,1,6,3,4,4,6,5,6
1,2,2,2,2,2,2,2,2,2
1,1,2,4,3,4,4,4,4,4
1,2,3,6,5,6,6,6,4,6
3,2,1,4,4,6,6,6,5,6
1,2,1,5,3,6,6,6,4,6
2,1,1,5,3,6,5,5,4,6
2,3,1,6,4,6,6,6,5,6
1,2,2,5,3,5,5,5,4,5
2,1,2,5,3,5,5,5,4,5
3,2,1,6,4,6,6,6,5,6
